El-number,tags,Name,Description,Art_nr,EAN_Tekst,Type,Effect,Area,Width,Length,MainSpec,Voltage,per_meter,self_limiting,isMat,inside,outside,effekt_mod,wm_mod,lengde_mod,type_mod
1001024,"mat, concrete, inside, outside","160W 3,0m2/0,3x10m 480W",Ultratynn varmekabelmatte for nedstøping,7071236000105,"TF160W/3,0m2 0,3x10m 480W",TF 160W, 480,"3,0","0,3","3,0",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001012,"mat, concrete, inside, outside","130W 3,1m2/0,5x6,3m 400W",Ultratynn varmekabelmatte for nedstøping,7071236000013,"TF130W/3,1m2 0,5x6,3m 400W",TF 130W, 400,"3,1","0,5","3,1",130,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001013,"mat, concrete, inside, outside","130W 3,9m2/0,5x7,8m 500W",Ultratynn varmekabelmatte for nedstøping,7071236000020,"TF130W/3,9m2 0,5x7,8m 500W",TF 130W, 500,"3,9","0,5","3,9",130,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001025,"mat, concrete, inside, outside","160W 4,0m2/0,3x13,3m 640W",Ultratynn varmekabelmatte for nedstøping,7071236000112,"TF160W/4,0m2 0,3x13,3m 640W",TF 160W, 640,"4,0","0,3","4,0",160,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001014,"mat, concrete, inside, outside","130W 4,7m2/0,5x9,4m 600W",Ultratynn varmekabelmatte for nedstøping,7071236000037,"TF130W/4,7m2 0,5x9,4m 600W",TF 130W, 600,"4,7","0,5","4,7",130,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001015,"mat, concrete, inside, outside","130W 5,5m2/0,5x11m 710W",Ultratynn varmekabelmatte for nedstøping,7071236000044,"TF130W/5,5m2 0,5x11m 710W",TF 130W, 710,"5,5","0,5","5,5",130,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001051,"mat, inside, parquet","P 60W/1,0m2 0,5x2m 60W",Varmekabelmatte som parkettunderlag,7071236009962,"TFP 60W/1,0m2 0,5x2m 60W",P, 60,"1,0","0,5","1,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001101,"mat, inside, parquet","P 30W/1,0m2 0,5x2m 30W",Varmekabelmatte som parkettunderlag,7071236009528,"TFP 30W/1,0m2 0,5x2m 30W",P, 30,"1,0","0,5","1,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001131,"mat, inside, parquet","P 60W/1,0m2 0,5x2m 60W",Varmekabelmatte som parkettunderlag,7071236000549,"TFP60W/1,0m2 0,5x2m 60W",P, 60,"1,0","0,5","1,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001060,"mat, inside, parquet","P 60W/10,0m2 0,5x20m 600W",Varmekabelmatte som parkettunderlag,7071236010050,"TFP 60W/10,0m2 0,5x20m 600W",P, 600,"10,0","0,5","10,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001110,"mat, inside, parquet","P 30W/10,0m2 0,5x20m 300W",Varmekabelmatte som parkettunderlag,7071236009610,"TFP 30W/10,0m2 0,5x20m 300W",P, 300,"10,0","0,5","10,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001140,"mat, inside, parquet","P 60W/10,0m2 0,5x20m 600W",Varmekabelmatte som parkettunderlag,7071236005148,"TFP60W/10,0m2 0,5x20m 600W",P, 600,"10,0","0,5","10,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001121,"mat, inside, parquet","P 30W/10,5m2 0,5x21m 315W",Varmekabelmatte som parkettunderlag,7071236009870,"TFP 30W/10,5m2 0,5x21m 315W",P, 315,"10,5","0,5","10,5",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001129,"mat, inside, parquet","P 30W/11m2 0,5x22m 330W",Varmekabelmatte som parkettunderlag,7071236009863,"TFP 30W/11m2 0,5x22m 330W",P, 330,11,"0,5",11,30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001062,"mat, inside, parquet","P 60W/12,0m2 0,5x24m 720W",Varmekabelmatte som parkettunderlag,7071236010067,"TFP 60W/12,0m2 0,5x24m 720W",P, 720,"12,0","0,5","12,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001112,"mat, inside, parquet","P 30W/12,0m2 0,5x24m 360W",Varmekabelmatte som parkettunderlag,7071236009627,"TFP 30W/12,0m2 0,5x24m 360W",P, 360,"12,0","0,5","12,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001142,"mat, inside, parquet","P 60W/12,0m2 0,5x24m 720W",Varmekabelmatte som parkettunderlag,7071236005155,"TFP60W/12,0m2 0,5x24m 720W",P, 720,"12,0","0,5","12,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
